Is_Response,Has_WebLink,Email_Length,Hyphen_Count,Pound_Count,At_Count,Exclamation_Count,Question_Count,Period_Count,Exclamation_Percentage,Question_Percentage,Period_Percentage,Hyphen_Percentage,Pound_Percentage,At_Percentage,Capitalization_Percent,Safe_Email
False,True,349,0,1,0,0,0,10,0.0,0.0,2.865329512893983,0.0,0.28653295128939826,0.0,9.923664122137405,1
False,False,271,0,0,0,1,0,4,0.36900369003690037,0.0,1.4760147601476015,0.0,0.0,0.0,0.0,0
False,False,330,1,0,0,0,0,4,0.0,0.0,1.2121212121212122,0.30303030303030304,0.0,0.0,0.0,1
False,False,453,10,0,0,0,4,0,0.0,0.8830022075055187,0.0,2.207505518763797,0.0,0.0,4.3478260869565215,1
False,False,389,1,0,1,0,0,6,0.0,0.0,1.5424164524421593,0.2570694087403599,0.0,0.2570694087403599,0.0,1
False,False,779,0,1,0,0,0,9,0.0,0.0,1.1553273427471116,0.0,0.12836970474967907,0.0,0.0,0
False,False,293,1,0,0,0,0,2,0.0,0.0,0.6825938566552902,0.3412969283276451,0.0,0.0,0.0,1
False,True,3219,71,0,0,0,3,32,0.0,0.09319664492078285,0.9940975458216837,2.2056539297918607,0.0,0.0,0.0,0
False,False,221,0,0,0,0,0,2,0.0,0.0,0.9049773755656109,0.0,0.0,0.0,0.0,1
False,False,2585,14,1,4,14,3,30,0.5415860735009671,0.11605415860735009,1.1605415860735009,0.5415860735009671,0.03868471953578337,0.15473887814313347,0.0,0
False,False,288,1,0,0,0,0,4,0.0,0.0,1.3888888888888888,0.3472222222222222,0.0,0.0,0.0,0
False,False,4088,35,0,0,1,1,72,0.02446183953033268,0.02446183953033268,1.761252446183953,0.8561643835616438,0.0,0.0,3.3638025594149914,1
False,True,677,0,1,0,1,2,11,0.14771048744460857,0.29542097488921715,1.6248153618906942,0.0,0.14771048744460857,0.0,5.544554455445545,1
True,False,4783,6,0,2,3,0,46,0.06272214091574325,0.0,0.9617394940413966,0.1254442818314865,0.0,0.04181476061049551,0.0,1
False,True,2022,132,0,2,1,4,68,0.04945598417408507,0.19782393669634027,3.3630069238377844,6.528189910979228,0.0,0.09891196834817013,7.804878048780488,1
False,False,1131,5,1,0,5,0,5,0.4420866489832007,0.0,0.4420866489832007,0.4420866489832007,0.08841732979664015,0.0,20.45951859956236,0
False,False,354,6,0,1,0,0,10,0.0,0.0,2.824858757062147,1.694915254237288,0.0,0.2824858757062147,0.0,0
